country/region,who_region,confirmed,deaths,recovered,active,new_cases,new_deaths,new_recovered
Afghanistan,Eastern Mediterranean,36263,1269,25198,9796,106,10,18
Albania,Europe,4880,144,2745,1991,117,6,63
Algeria,Africa,27973,1163,18837,7973,616,8,749
Andorra,Europe,907,52,803,52,10,0,0
Angola,Africa,950,41,242,667,18,1,0
Antigua and Barbuda,Americas,86,3,65,18,4,0,5
Argentina,Americas,167416,3059,72575,91782,4890,120,2057
Armenia,Europe,37390,711,26665,10014,73,6,187
Australia,Western Pacific,15303,167,9311,5825,368,6,137
Austria,Europe,20558,713,18246,1599,86,1,37
Azerbaijan,Europe,30446,423,23242,6781,396,6,558
Bahamas,Americas,382,11,91,280,40,0,0
Bahrain,Eastern Mediterranean,39482,141,36110,3231,351,1,421
Bangladesh,South-East Asia,226225,2965,125683,97577,2772,37,1801
Barbados,Americas,110,7,94,9,0,0,0
Belarus,Europe,67251,538,60492,6221,119,4,67
Belgium,Europe,66428,9822,17452,39154,402,1,14
Belize,Americas,48,2,26,20,0,0,0
Benin,Africa,1770,35,1036,699,0,0,0
Bhutan,South-East Asia,99,0,86,13,4,0,1
Bolivia,Americas,71181,2647,21478,47056,1752,64,309
Bosnia and Herzegovina,Europe,10498,294,4930,5274,731,14,375
Botswana,Africa,739,2,63,674,53,1,11
Brazil,Americas,2442375,87618,1846641,508116,23284,614,33728
Brunei,Western Pacific,141,3,138,0,0,0,0
Bulgaria,Europe,10621,347,5585,4689,194,7,230
Burkina Faso,Africa,1100,53,926,121,14,0,6
Burma,South-East Asia,350,6,292,52,0,0,2
Burundi,Africa,378,1,301,76,17,0,22
Cabo Verde,Africa,2328,22,1550,756,21,0,103
Cambodia,Western Pacific,226,0,147,79,1,0,4
Cameroon,Africa,17110,391,14539,2180,402,6,0
Canada,Americas,116458,8944,0,107514,682,11,0
Central African Republic,Africa,4599,59,1546,2994,0,0,0
Chad,Africa,922,75,810,37,7,0,0
Chile,Americas,347923,9187,319954,18782,2133,75,1859
China,Western Pacific,86783,4656,78869,3258,213,4,7
